x,y
-4.465,-3.411436
-4.460,-3.317551
-4.455,-3.226732
-4.450,-3.138800
-4.445,-3.053590
-4.440,-2.970948
-4.435,-2.890733
-4.430,-2.812811
-4.425,-2.737060
-4.420,-2.663364
-4.415,-2.591617
-4.410,-2.521718
-4.405,-2.453573
-4.400,-2.387094
-4.395,-2.322198
-4.390,-2.258808
-4.385,-2.196850
-4.380,-2.136256
-4.375,-2.076960
-4.370,-2.018902
-4.365,-1.962023
-4.360,-1.906269
-4.355,-1.851587
-4.350,-1.797928
-4.345,-1.745245
-4.340,-1.693494
-4.335,-1.642632
-4.330,-1.592618
-4.325,-1.543415
-4.320,-1.494984
-4.315,-1.447291
-4.310,-1.400301
-4.305,-1.353983
-4.300,-1.308305
-4.295,-1.263236
-4.290,-1.218748
-4.285,-1.174813
-4.280,-1.131403
-4.275,-1.088493
-4.270,-1.046056
-4.265,-1.004069
-4.260,-0.962506
-4.255,-0.921345
-4.250,-0.880561
-4.245,-0.840134
-4.240,-0.800040
-4.235,-0.760257
-4.230,-0.720764
-4.225,-0.681541
-4.220,-0.642564
-4.215,-0.603815
-4.210,-0.565271
-4.205,-0.526912
-4.200,-0.488717
-4.195,-0.450665
-4.190,-0.412735
-4.185,-0.374906
-4.180,-0.337155
-4.175,-0.299462
-4.170,-0.261804
-4.165,-0.224158
-4.160,-0.186501
-4.155,-0.148809
-4.150,-0.111059
-4.145,-0.073223
-4.140,-0.035277
-4.135,0.002806
-4.130,0.041055
-4.125,0.079499
-4.120,0.118168
-4.115,0.157095
-4.110,0.196312
-4.105,0.235856
-4.100,0.275762
-4.095,0.316070
-4.090,0.356823
-4.085,0.398063
-4.080,0.439837
-4.075,0.482196
-4.070,0.525193
-4.065,0.568883
-4.060,0.613330
-4.055,0.658597
-4.050,0.704756
-4.045,0.751883
-4.040,0.800059
-4.035,0.849376
-4.030,0.899929
-4.025,0.951824
-4.020,1.005176
-4.015,1.060112
-4.010,1.116770
-4.005,1.175301
-4.000,1.235873
-3.995,1.298672
-3.990,1.363903
-3.985,1.431794
-3.980,1.502599
-3.975,1.576603
-3.970,1.654126
-3.965,1.735528
-3.960,1.821216
-3.955,1.911652
-3.950,2.007364
-3.945,2.108955
-3.940,2.217122
-3.935,2.332668
-3.930,2.456530
-3.925,2.589804
-3.920,2.733780
-3.915,2.889991
-3.910,3.060269
-3.905,3.246822
-3.900,3.452339
-3.895,3.680126
-3.890,3.934292
-3.885,4.220013
-3.880,4.543897
-3.875,4.914524
-3.870,5.343230
-3.865,5.845320
-3.860,6.441966
-3.855,7.163319
-3.850,8.053830
-3.845,9.181869
-3.840,10.658316
-3.835,12.675681
-3.830,15.600152
-3.825,20.224525
-3.820,28.644680
-3.815,48.804470
-3.810,161.933415
-3.805,-124.376399
-3.800,-45.120959
-3.795,-27.626199
-3.790,-19.940495
-3.785,-15.619782
-3.780,-12.850673
-3.775,-10.924426
-3.770,-9.506978
-3.765,-8.420256
-3.760,-7.560646
-3.755,-6.863760
-3.750,-6.287478
-3.745,-5.803091
-3.740,-5.390353
-3.735,-5.034582
-3.730,-4.724869
-3.725,-4.452941
-3.720,-4.212410
-3.715,-3.998265
-3.710,-3.806522
-3.705,-3.633974
-3.700,-3.478008
-3.695,-3.336477
-3.690,-3.207601
-3.685,-3.089888
-3.680,-2.982085
-3.675,-2.883127
-3.670,-2.792104
-3.665,-2.708237
-3.660,-2.630854
-3.655,-2.559371
-3.650,-2.493281
-3.645,-2.432139
-3.640,-2.375558
-3.635,-2.323195
-3.630,-2.274748
-3.625,-2.229950
-3.620,-2.188564
-3.615,-2.150380
-3.610,-2.115210
-3.605,-2.082889
-3.600,-2.053268
-3.595,-2.026215
-3.590,-2.001611
-3.585,-1.979351
-3.580,-1.959343
-3.575,-1.941504
-3.570,-1.925759
-3.565,-1.912045
-3.560,-1.900304
-3.555,-1.890488
-3.550,-1.882554
-3.545,-1.876466
-3.540,-1.872193
-3.535,-1.869712
-3.530,-1.869003
-3.525,-1.870052
-3.520,-1.872849
-3.515,-1.877391
-3.510,-1.883678
-3.505,-1.891714
-3.500,-1.901508
-3.495,-1.913073
-3.490,-1.926429
-3.485,-1.941598
-3.480,-1.958606
-3.475,-1.977485
-3.470,-1.998272
-3.465,-2.021009
-3.460,-2.045741
-3.455,-2.072522
-3.450,-2.101408
-3.445,-2.132462
-3.440,-2.165756
-3.435,-2.201365
-3.430,-2.239373
-3.425,-2.279871
-3.420,-2.322958
-3.415,-2.368744
-3.410,-2.417346
-3.405,-2.468892
-3.400,-2.523521
-3.395,-2.581387
-3.390,-2.642654
-3.385,-2.707503
-3.380,-2.776130
-3.375,-2.848751
-3.370,-2.925598
-3.365,-3.006930
-3.360,-3.093027
-3.355,-3.184197
-3.350,-3.280780
-3.345,-3.383149
-3.340,-3.491715
-3.335,-3.606933
-3.330,-3.729309
-3.325,-3.859402
-3.320,-3.997836
-3.315,-4.145308
-3.310,-4.302597
-3.305,-4.470580
-3.300,-4.650246
-3.295,-4.842710
-3.290,-5.049242
-3.285,-5.271288
-3.280,-5.510503
-3.275,-5.768793
-3.270,-6.048359
-3.265,-6.351762
-3.260,-6.681995
-3.255,-7.042578
-3.250,-7.437683
-3.245,-7.872291
-3.240,-8.352392
-3.235,-8.885263
-3.230,-9.479825
-3.225,-10.147142
-3.220,-10.901099
-3.215,-11.759364
-3.210,-12.744773
-3.205,-13.887366
-3.200,-15.227468
-3.195,-16.820509
-3.190,-18.744817
-3.185,-21.114817
-3.180,-24.104514
-3.175,-27.992089
-3.170,-33.251577
-3.165,-40.762043
-3.160,-52.357680
-3.155,-72.608784
-3.150,-116.957809
-3.145,-291.489377
-3.140,629.885253
-3.135,153.694849
-3.130,88.280508
-3.125,62.294607
-3.120,48.346888
-3.115,39.646961
-3.110,33.703151
-3.105,29.385630
-3.100,26.107850
-3.095,23.535043
-3.090,21.462215
-3.085,19.756817
-3.080,18.329340
-3.075,17.117161
-3.070,16.075148
-3.065,15.169957
-3.060,14.376415
-3.055,13.675167
-3.050,13.051080
-3.045,12.492159
-3.040,11.988767
-3.035,11.533077
-3.030,11.118666
-3.025,10.740212
-3.020,10.393267
-3.015,10.074088
-3.010,9.779500
-3.005,9.506793
-3.000,9.253641
-2.995,9.018035
-2.990,8.798229
-2.985,8.592704
-2.980,8.400126
-2.975,8.219322
-2.970,8.049257
-2.965,7.889012
-2.960,7.737770
-2.955,7.594801
-2.950,7.459452
-2.945,7.331136
-2.940,7.209325
-2.935,7.093541
-2.930,6.983352
-2.925,6.878367
-2.920,6.778228
-2.915,6.682611
-2.910,6.591218
-2.905,6.503778
-2.900,6.420042
-2.895,6.339780
-2.890,6.262782
-2.885,6.188854
-2.880,6.117816
-2.875,6.049502
-2.870,5.983760
-2.865,5.920447
-2.860,5.859430
-2.855,5.800586
-2.850,5.743802
-2.845,5.688970
-2.840,5.635992
-2.835,5.584773
-2.830,5.535227
-2.825,5.487272
-2.820,5.440833
-2.815,5.395837
-2.810,5.352218
-2.805,5.309911
-2.800,5.268859
-2.795,5.229003
-2.790,5.190293
-2.785,5.152678
-2.780,5.116112
-2.775,5.080549
-2.770,5.045948
-2.765,5.012269
-2.760,4.979476
-2.755,4.947531
-2.750,4.916402
-2.745,4.886057
-2.740,4.856465
-2.735,4.827598
-2.730,4.799428
-2.725,4.771929
-2.720,4.745077
-2.715,4.718847
-2.710,4.693219
-2.705,4.668170
-2.700,4.643680
